Year,Count
1900,1
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,1
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,1
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,1
1958,1
1959,0
1960,0
1961,0
1962,0
1963,0
1964,1
1965,2
1966,3
1967,1
1968,0
1969,2
1970,2
1971,7
1972,8
1973,3
1974,2
1975,3
1976,14
1977,16
1978,19
1979,12
1980,20
1981,12
1982,18
1983,31
1984,34
1985,41
1986,48
1987,57
1988,88
1989,88
1990,111
1991,153
1992,195
1993,267
1994,298
1995,458
1996,568
1997,789
1998,1205
1999,1605
2000,2099
2001,19036
2002,5772
2003,6928
2004,8525
2005,10674
2006,12228
2007,13758
2008,15662
2009,16685
2010,18079
2011,18182
2012,18905
2013,19040
2014,20109
2015,21671
2016,18573
2017,4035
2018,5672
2019,2058
2020,2371
2021,1561
2022,1544
2023,1513
2024,1438
2025,1496
2026,1409
2027,1554
2028,1656
2029,1338
2030,2316
2031,1484
2100,5
Not_Provided,4718
Total,288280
